iter	RMSE
0	1.596744339
1	1.554436631
2	1.514635228
3	1.481272771
4	1.448325282
5	1.422806619
6	1.394141233
7	1.367335879
8	1.340241234
9	1.320961334
10	1.295907734
11	1.274153228
12	1.252544372
13	1.235021656
14	1.223358068
15	1.209944208
16	1.194691837
17	1.181184872
18	1.168037809
19	1.156421996
20	1.144978045
21	1.135150719
22	1.125517514
23	1.115196785
24	1.107742245
25	1.099035554
26	1.090624055
27	1.084645324
28	1.077150691
29	1.070790638
30	1.063770186
31	1.060447878
32	1.055178081
33	1.050903012
34	1.047149804
35	1.043729042
36	1.039654997
37	1.036751734
38	1.034508941
39	1.031197734
40	1.028565344
41	1.026428659
42	1.024111855
43	1.02280828
44	1.021034033
45	1.016935642
46	1.014933886
47	1.012384099
48	1.010745434
49	1.009239503
50	1.006721057
51	1.005416981
52	1.000431215
53	0.9992769094
54	0.9962863531
55	0.9953625671
56	0.9910095266
57	0.9899646535
58	0.9874813832
59	0.9865803937
60	0.9845603862
61	0.9802741401
62	0.9787885607
63	0.9763411898
64	0.9741677055
65	0.9724207511
66	0.9713481217
67	0.9697968347
68	0.9684013336
69	0.9668143484
70	0.9629602676
71	0.9622529014
72	0.9614796378
73	0.9573072878
74	0.955865955
75	0.9541696626
76	0.9538576641
77	0.9516618731
78	0.9506142483
79	0.9491603306
80	0.9479356869
81	0.9471605104
82	0.9465717033
83	0.9446608615
84	0.9431421575
85	0.9411429654
86	0.9393849544
87	0.9376217064
88	0.9357737909
89	0.934573762
90	0.9313686994
91	0.9299369257
92	0.9283869768
93	0.927306286
94	0.9263282517
95	0.9248785093
96	0.9247667591
97	0.9230777343
98	0.9199949061
99	0.9192281558
