iter	Passed	Remaining
0	0	67
1	1	57
2	1	53
3	2	50
4	2	48
5	2	46
6	3	46
7	4	51
8	4	50
9	5	48
10	5	46
11	6	45
12	6	43
13	6	42
14	7	41
15	7	39
16	7	38
17	8	37
18	8	37
19	9	37
20	9	36
21	10	36
22	10	35
23	11	35
24	11	34
25	11	33
26	12	33
27	12	32
28	12	31
29	13	30
30	13	30
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	18	22
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	21	21
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	24	15
61	25	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	33	6
83	34	6
84	34	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
