sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
B2B,38.67,lead generation,5,2019,2,5,2019,2,True,5.14166355650266,10.623885047586233,11.310662391235374
Travel,16.49,post engagement,12,2018,4,12,2018,4,False,8.214735833382303,11.005593730458493,11.119423512109528
Ecommerce & Retail,4.0,post engagement,11,2020,4,11,2020,4,False,5.961005339623274,8.687273461787838,8.847359875474174
Travel,3.61,pages likes,12,2019,4,12,2019,4,False,5.556828061699537,8.602453035367061,8.61323037961318
Ecommerce & Retail,91.62,Traffic,4,2022,2,3,2022,1,False,7.870165946469845,11.849869019075333,12.626859769736123
Ecommerce & Retail,16.13,Traffic,5,2020,2,5,2020,2,False,6.959398512133975,11.384739758670458,11.488438081318957
Ecommerce & Retail,16.91,Traffic,11,2021,4,11,2021,4,False,7.461065514354283,10.896128027630796,11.24394737731222
Ecommerce & Retail,27.43,post engagement,11,2020,4,11,2020,4,False,5.934894195619588,10.219246747559799,10.839678946116619
Travel,17.02,Messages,11,2021,4,9,2021,3,False,2.9444389791664403,9.426821780416843,9.674828820533808
Ecommerce & Retail,181.57,lead generation,11,2021,4,11,2021,4,True,4.382026634673881,10.805821337781078,12.214199532741782
Ecommerce & Retail,10.57,post engagement,5,2022,2,5,2022,2,False,7.0192966537150445,9.84585843969949,10.023179875454133
Automotive,98.09,pages likes,3,2022,1,3,2022,1,True,6.816735880594968,10.79156397792911,11.833094088456308
Ecommerce & Retail,182.01,Traffic,6,2019,2,6,2019,2,True,8.948066103458935,12.65341519098281,14.171389685324979
B2B,308.44,lead generation,8,2021,3,7,2021,3,False,5.683579767338681,11.806676583448391,12.416045847290995
Travel,15.98,Messages,12,2018,4,12,2018,4,False,4.795790545596741,10.383503391908588,10.73848145732431
Ecommerce & Retail,96.87,CONVERSIONS,11,2021,4,11,2021,4,False,1.0986122886681098,11.15517851807016,12.095855913071174
Automotive,96.38,post engagement,7,2021,3,7,2021,3,False,8.183955717304954,7.81035268372429,9.882468185312053
Ecommerce & Retail,7.05,post engagement,4,2022,2,4,2022,2,True,7.593877844605118,9.434842999328023,9.831185640780722
Ecommerce & Retail,87.02,post engagement,11,2020,4,11,2020,4,False,8.202756381655638,11.489298534339072,12.148395862065785
Travel,36.53,post engagement,12,2021,4,11,2021,4,False,7.293697720601438,11.165946222581114,11.762648627859642
Ecommerce & Retail,57.8,Traffic,3,2021,1,3,2021,1,False,7.257707677160043,11.326933179286812,11.908522038879788
Ecommerce & Retail,5.46,post engagement,4,2021,2,4,2021,2,True,5.855071922202427,8.437933510430605,8.733110697638708
Ecommerce & Retail,1.98,post engagement,11,2019,4,10,2019,4,False,4.700480365792417,8.37930948405285,8.429017500512511
B2B,24.01,Messages,2,2022,1,2,2022,1,True,2.772588722239781,9.071308163280625,9.402859753746583
Travel,34.32,post engagement,1,2022,1,1,2022,1,True,10.848657243960659,11.55040427727935,11.779419651097427
Ecommerce & Retail,30.0,Messages,5,2021,2,4,2021,2,False,1.9459101490553132,9.418573310554638,10.612089687650935
Automotive,19.07,post engagement,3,2022,1,3,2022,1,False,10.359677460135904,10.86086264450968,11.132630904004008
Ecommerce & Retail,57.85,Traffic,10,2021,4,10,2021,4,True,8.355144739461839,11.396829754978903,11.82352296199275
Ecommerce & Retail,148.19,lead generation,6,2021,2,6,2021,2,False,4.74493212836325,10.979734934070962,11.792358608363598
Ecommerce & Retail,20.0,Messages,2,2021,1,2,2021,1,False,3.713572066704308,8.774467601446593,9.41865450904439
Automotive,147.05,lead generation,2,2022,1,2,2022,1,True,4.143134726391533,10.09352923234522,11.11407344213231
Travel,8.41,Traffic,12,2018,4,12,2018,4,False,5.62040086571715,10.425876067666572,10.684233437575141
Ecommerce & Retail,39.01,post engagement,11,2020,4,11,2020,4,False,6.025865973825314,10.002110421141213,10.617882394259105
Travel,64.94,post engagement,12,2018,4,12,2018,4,False,8.058960017769417,11.177228927416687,11.645443844670373
Ecommerce & Retail,28.11,lead generation,4,2022,2,4,2022,2,False,2.772588722239781,9.61826910952232,9.995929987925688
B2B,28.3,Messages,5,2022,2,2,2022,1,True,2.9444389791664403,9.612132074718039,9.888526187395968
Ecommerce & Retail,14.09,post engagement,4,2020,2,4,2020,2,False,6.853299093186078,9.816021526754852,10.857671193344657
Ecommerce & Retail,10.0,post engagement,5,2021,2,5,2021,2,False,7.088408778675395,9.785041797329646,10.015744234881796
Travel,12.46,Traffic,1,2022,1,1,2022,1,False,7.249215057114389,10.266184328793354,10.423203539647567
