Campaign type,amount,start_month,start_year,start_quarter,Is_Weekend,clicks,impressions,views
Search,3.26,11,2021,4,False,3.258096538021482,5.60947179518496,0.0
Video,0.03,11,2021,4,False,0.0,3.258096538021482,1.791759469228055
Display,105.18,9,2021,3,False,1.716676663103699,12.045944972345806,0.0
Video,0.05,2,2022,1,False,0.0,2.70805020110221,1.791759469228055
Video,95.11,6,2021,2,False,1.5769147207285403,11.298258386636848,3.253393186893761
Search,126.38,1,2021,1,False,5.973809611869261,8.06054004653864,0.0
App,0.18,3,2021,1,False,1.6094379124341003,4.859812404361672,0.0
Search,0.04,1,2022,1,False,1.0986122886681098,6.126869184114185,0.0
Search,4.49,3,2021,1,False,3.4011973816621555,5.247024072160486,0.0
Search,188.23,6,2017,2,False,4.77912349311153,9.591854259261833,0.0
Search,40.24,9,2021,3,False,5.713732805509369,10.223031598136654,0.0
App,64.39,4,2022,2,False,6.742880635791903,12.189343490276288,1.9067237210285761
Video,80.53,11,2021,4,False,5.697093486505405,11.378239119930573,2.928576998366583
Smart,57.29,3,2022,1,False,0.8733832308628786,10.976012506440918,0.0
Video,161.47,5,2021,2,False,0.8944540372649806,12.096040121908695,3.5261252028125103
Search,0.0,3,2022,1,False,0.0,4.6913478822291435,0.0
Display,0.57,7,2021,3,False,3.5553480614894135,7.725771441587952,0.0
Search,196.16,11,2021,4,False,5.327876168789581,9.870861049709035,0.0
Smart,45.49,9,2019,3,False,4.330733340286331,7.273786317844895,0.0
Video,70.45,6,2021,2,False,6.403574197934815,10.834272730560736,2.669032134081481
Search,139.23,7,2017,3,False,4.48863636973214,8.806274284781725,0.0
Video,50.17,10,2021,4,False,4.927253685157205,10.95201634103625,3.5243585219454885
Display,24.19,10,2021,4,False,0.8131499729546416,11.995493579445624,0.0
Display,0.22,8,2021,3,False,2.6390573296152584,6.587550014824796,0.0
App,583.28,11,2021,4,False,0.7217346374118578,11.181054625664238,1.9459101490553132
Search,33.84,2,2021,1,False,4.875197323201151,7.217443431696533,0.0
Search,378.18,2,2021,1,False,5.902633333401366,7.48324441607385,0.0
Video,2.16,7,2021,3,False,4.02535169073515,7.847371836159788,6.759255270663693
Display,0.23,12,2021,4,False,2.833213344056216,6.665683717782408,0.0
App,190.62,3,2022,1,False,1.9210318049321942,12.530887917255015,2.302585092994046
Search,521.47,3,2021,1,False,5.598421958998375,7.470793774195062,0.0
Video,0.31,12,2021,4,False,0.0,5.075173815233827,3.970291913552122
Search,23.15,8,2021,3,False,3.367295829986474,5.4510384535657,0.0
Display,130.1,7,2021,3,False,1.026399954554185,12.204516435262867,0.0
Display,15.14,10,2020,4,False,6.71295620067707,12.517933784095758,0.0
Display,1.67,6,2021,2,False,4.31748811353631,8.837826364007704,0.0
Video,0.12,12,2021,4,False,0.0,4.23410650459726,2.995732273553991
Search,336.8,3,2021,1,False,4.969813299576001,6.794586580876499,0.0
Smart,0.08,4,2022,2,False,1.3862943611198906,5.771441123130016,0.0
Display,0.05,1,2022,1,False,1.6094379124341003,3.9512437185814275,0.0
Video,51.47,4,2021,2,False,5.5053315359323625,10.736070535336799,1.852540941487914
Search,0.0,2,2022,1,False,0.0,3.7612001156935624,0.0
Search,43.96,9,2020,3,False,4.976733742420574,8.523572798380277,0.0
Search,186.66,6,2017,2,False,4.736198448394496,8.962519832949532,0.0
Search,256.02,6,2021,2,False,1.1521530555961395,9.510074525452104,0.0
Video,25.04,9,2020,3,False,5.365976015021851,10.215886627524746,0.0
Search,221.86,2,2022,1,False,5.3981627015177525,10.274395721835582,0.0
Search,235.47,8,2021,3,False,5.7899601708972535,10.609847064568209,0.0
App,617.18,12,2021,4,False,0.833778310299691,11.483579040174998,2.302585092994046
Search,66.66,7,2020,3,False,5.877735781779639,7.950502434808851,0.0
Display,1.3,10,2021,4,False,3.4657359027997265,8.254788926148725,0.0
Video,41.59,11,2021,4,False,6.672032945461067,11.495840341912414,0.0
Smart,0.0,5,2022,2,False,0.0,5.1647859739235145,0.0
Video,0.03,12,2021,4,False,0.0,2.5649493574615367,1.0986122886681098
App,63.97,5,2022,2,False,1.3121094629305141,10.704704076564818,5.726847747587197
Video,31.05,11,2020,4,False,5.19295685089021,10.459926872262475,2.933644081240569
Search,0.21,11,2021,4,False,2.302585092994046,6.025865973825314,0.0
Video,49.88,12,2021,4,False,5.342334251964811,10.25079374647076,1.9900637305286193
Display,58.24,2,2021,1,False,1.2455944790167555,11.585599552459652,0.0
Video,0.0,3,2021,1,False,0.0,1.6094379124341003,0.0
Display,0.04,1,2022,1,False,0.6931471805599453,4.454347296253507,0.0
Search,96.26,1,2022,1,False,5.662960480135946,10.744946973787279,0.0
Search,1.87,8,2021,3,False,4.356708826689592,7.419979923661835,0.0
Video,100.45,2,2022,1,False,6.0473721790462776,10.828004357307494,2.4019778368720806
Display,1.85,10,2021,4,False,4.454347296253507,8.764365720529808,0.0
Video,6.85,3,2021,1,False,3.9318256327243257,8.566935283311052,0.9078552530530535
Display,0.04,7,2021,3,False,1.6094379124341003,5.424950017481403,0.0
Search,11.73,7,2020,3,False,3.8501476017100584,6.148468295917647,0.0
Video,0.34,3,2021,1,False,1.6094379124341003,5.638354669333745,0.0
App,0.02,4,2022,2,False,0.0,2.833213344056216,0.0
Search,294.59,1,2022,1,False,5.123963979403259,8.67317077287059,0.0
Search,37.52,10,2021,4,False,5.003946305945459,6.904750769961838,0.0
Video,4.35,3,2021,1,False,3.044522437723423,8.111928063310739,0.0
Search,0.05,6,2021,2,False,1.3862943611198906,5.66988092298052,0.0
Display,0.01,6,2021,2,False,0.6931471805599453,1.791759469228055,0.0
Search,57.08,6,2021,2,False,6.400257445308821,10.206403005628498,0.0
Search,13.11,7,2021,3,False,5.087596335232384,10.736201004154935,0.0
Video,0.0,1,2022,1,False,0.0,2.302585092994046,0.6931471805599453
Search,0.0,2,2022,1,False,0.0,2.9444389791664403,0.0
Video,70.15,10,2020,4,False,0.8197798314933114,10.864617797882975,2.700018029404946
Search,0.06,10,2021,4,False,0.6931471805599453,4.442651256490317,0.0
Video,123.44,8,2021,3,False,6.226536669287466,11.821453737653547,2.3942522815198695
Search,50.08,2,2021,1,False,4.110873864173311,6.16541785423142,0.0
Search,819.88,8,2021,3,False,2.0784410413462524,11.576163140374751,0.0
Search,0.61,2,2022,1,False,2.772588722239781,6.682108597449809,0.0
Search,14.61,6,2020,2,False,4.219507705176107,5.802118375377063,0.0
Search,81.14,7,2021,3,False,3.912023005428146,6.543911845564792,0.0
Video,56.42,3,2022,1,False,5.58724865840025,10.844568453217502,3.3196980580830187
Display,0.53,12,2021,4,False,2.1972245773362196,6.373319789577012,0.0
Search,36.16,2,2021,1,False,3.295836866004329,5.820082930352362,0.0
Search,59.61,10,2020,4,False,6.380122536899765,11.647604948286341,0.0
Search,3.15,6,2020,2,False,2.8903717578961645,3.871201010907891,0.0
Display,49.52,5,2021,2,False,1.3857942360782083,11.68042099064551,0.0
Search,119.85,4,2021,2,False,3.9318256327243257,5.786897381366708,0.0
Video,52.84,3,2021,1,False,5.820082930352362,10.584258462028018,2.5817308344235403
Display,0.03,9,2021,3,False,1.0986122886681098,5.247024072160486,0.0
Search,28.41,9,2021,3,False,4.454347296253507,6.352629396319567,0.0
Search,20.59,6,2021,2,False,4.624972813284271,6.598509028614515,0.0
Search,6.01,3,2021,1,False,4.290459441148391,5.963579343618446,0.0
Search,75.24,6,2021,2,False,6.2422232654551655,8.23880116587155,0.0
Search,224.48,6,2021,2,False,0.8372475245337022,9.024131268455035,0.0
Display,1.19,9,2021,3,False,4.356708826689592,8.720950028930258,0.0
Video,0.74,12,2020,4,False,1.3862943611198906,5.68697535633982,3.4011973816621555
Display,0.0,3,2021,1,False,0.0,0.6931471805599453,0.0
Video,34.33,5,2021,2,False,5.14166355650266,10.282266395381786,1.4581497982203186
Search,35.39,9,2021,3,False,5.521460917862246,9.489334816030398,0.0
Search,1465.88,2,2022,1,False,0.9170904120447194,12.47238679124356,0.0
Search,103.8,6,2021,2,False,5.583496308781699,8.076515327552329,0.0
Search,22.04,1,2022,1,False,4.454347296253507,6.498282149476434,0.0
Search,0.0,11,2021,4,False,0.0,0.6931471805599453,0.0
Search,71.18,5,2021,2,False,5.981414211254481,8.019941687677365,0.0
Search,0.07,9,2021,3,False,1.0986122886681098,2.772588722239781,0.0
App,60.08,3,2021,1,False,1.0462658082959004,11.335042045060883,0.0
Search,111.52,8,2021,3,False,6.309918278226516,9.769155839740836,0.0
Display,41.91,7,2021,3,False,1.1637756145745228,12.378949743496129,0.0
Search,35.6,8,2020,3,False,4.867534450455582,7.024649030453636,0.0
Search,26.04,1,2022,1,False,4.912654885736052,8.412499120301572,0.0
Display,24.83,10,2021,4,False,0.7173518692567626,10.606857304116247,0.0
Display,0.24,6,2021,2,False,2.70805020110221,7.555905093611346,0.0
Search,24.27,10,2020,4,False,4.897839799950911,7.5688956634069955,0.0
Search,33.16,10,2020,4,False,6.669498089857879,12.799949063522062,0.0
Search,0.31,6,2021,2,False,2.5649493574615367,5.153291594497779,0.0
Search,19.59,10,2020,4,False,4.174387269895637,5.318119993844216,0.0
Search,5.43,7,2021,3,False,4.653960350157523,10.089302998584339,0.0
Display,27.09,11,2021,4,False,6.003887067106539,10.25224120572685,0.0
Display,3.0,9,2021,3,False,3.6635616461296463,7.881559917056899,0.0
Search,207.27,1,2022,1,False,6.304448802421981,9.816130661317876,0.0
Display,0.53,9,2021,3,False,3.258096538021482,7.43307534889858,0.0
Search,0.02,3,2022,1,False,0.6931471805599453,5.389071729816501,0.0
Search,50.97,9,2020,3,False,4.919980925828125,7.1929342212158,0.0
Display,69.34,11,2021,4,False,1.111528513934656,11.66498538926197,0.0
Search,7.82,8,2021,3,False,5.4680601411351315,10.187048645403605,0.0
Search,85.4,7,2020,3,False,6.135564891081739,8.070593539949519,0.0
Search,189.81,4,2021,2,False,4.394449154672439,6.361302477572996,0.0
Display,20.13,2,2021,1,False,6.674561391814426,11.62255983468896,0.0
Search,170.05,1,2022,1,False,1.0399232923194301,10.962596421426538,0.0
Video,17.79,11,2021,4,False,5.733341276897746,10.255938588321637,0.0
