sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,363.59,pages likes,5,2022,2,4,2022,2,True,8.013343181386672,11.567167407817905,12.455281525365566
Ecommerce & Retail,148.92,CONVERSIONS,8,2021,3,8,2021,3,False,8.171599480345463,12.497738024074073,13.782027194697699
Travel,1.94,post engagement,1,2019,1,12,2018,4,False,4.890349128221754,7.887208585813932,7.9105906122564775
Travel,7.73,pages likes,12,2018,4,12,2018,4,False,6.255750041753367,9.638284261844774,10.267157970987247
Ecommerce & Retail,5.39,post engagement,9,2021,3,9,2021,3,False,7.393263094763838,9.491979220880678,9.725974416734479
Ecommerce & Retail,45.45,post engagement,3,2019,1,3,2019,1,False,9.809561414503964,10.099753105042092,11.017628642821865
Travel,50.0,post engagement,7,2019,3,7,2019,3,False,7.89989532313973,11.28128340340112,11.816372613000391
Travel,2.12,post engagement,7,2019,3,7,2019,3,False,5.918893854273146,8.715880102296456,8.90231952852887
Travel,75.09,post engagement,4,2019,2,4,2019,2,True,8.515391569469609,11.195388813205843,11.540929661379826
Ecommerce & Retail,8.72,Messages,1,2021,1,1,2021,1,False,2.995732273553991,8.559677803022392,9.423433587436891
Ecommerce & Retail,20.0,post engagement,5,2022,2,4,2022,2,True,6.762729506931879,10.411539332752723,10.845660433124383
Ecommerce & Retail,49.98,pages likes,6,2020,2,6,2020,2,False,7.77485576666552,9.568084743872936,9.737432968206045
Ecommerce & Retail,136.15,Traffic,12,2021,4,12,2021,4,False,7.837159650001675,11.548447037037308,12.117164926164834
Travel,4.88,pages likes,12,2018,4,12,2018,4,True,5.820082930352362,9.19207456316929,9.89606003670733
B2B,95.13,lead generation,6,2020,2,6,2020,2,False,2.9444389791664403,10.79419377419745,11.71652731494412
Travel,163.2,post engagement,3,2022,1,2,2022,1,False,12.870359854609468,12.491984401896726,13.35257945930753
