iter	RMSE
0	2.403556072
1	2.367538462
2	2.339674487
3	2.307893229
4	2.269700868
5	2.245358497
6	2.216081062
7	2.194019623
8	2.168354559
9	2.150219915
10	2.129624753
11	2.105858067
12	2.088433675
13	2.061381292
14	2.042358216
15	2.020994926
16	2.003084952
17	1.985373463
18	1.966481893
19	1.95051038
20	1.935333127
21	1.918460863
22	1.904649071
23	1.896255379
24	1.877317766
25	1.863491374
26	1.850011481
27	1.83322571
28	1.823330552
29	1.81234786
30	1.799264532
31	1.787372954
32	1.776979876
33	1.766624389
34	1.756467469
35	1.745570013
36	1.731562286
37	1.721140319
38	1.712611168
39	1.702831475
40	1.694993761
41	1.686271956
42	1.677063488
43	1.669563707
44	1.660806024
45	1.653871699
46	1.64533714
47	1.638789553
48	1.632943892
49	1.625043699
50	1.621776765
51	1.616947536
52	1.608508931
53	1.601245008
54	1.595654349
55	1.587225844
56	1.58019884
57	1.573353472
58	1.567197906
59	1.560348972
60	1.553578081
61	1.547225324
62	1.543609581
63	1.535676027
64	1.529929479
65	1.524821946
66	1.518863844
67	1.515826306
68	1.510377672
69	1.505786652
70	1.499326048
71	1.494035423
72	1.489835079
73	1.487219914
74	1.484433857
75	1.481108927
76	1.477166005
77	1.472875439
78	1.467813913
79	1.46389932
80	1.461804941
81	1.457496559
82	1.455111474
83	1.44963726
84	1.447141599
85	1.444160705
86	1.439504173
87	1.436485706
88	1.433203494
89	1.431593905
90	1.426609738
91	1.423248663
92	1.419662934
93	1.416986978
94	1.413833923
95	1.411408238
96	1.410090033
97	1.407849927
98	1.404331436
99	1.401300234
100	1.399227842
101	1.397286489
102	1.396070706
103	1.394687809
104	1.390255264
105	1.387665621
106	1.384359456
107	1.380194899
108	1.378182096
109	1.376525343
110	1.374621913
111	1.370732555
112	1.367147479
113	1.364943286
114	1.363176343
115	1.361496064
116	1.358930413
117	1.356501595
118	1.354016261
119	1.352631245
120	1.350942739
121	1.349093625
122	1.347623472
123	1.344614854
124	1.343621187
125	1.341915325
126	1.339142056
127	1.337486323
128	1.335478994
129	1.333573172
130	1.331431171
131	1.329470348
132	1.326822889
133	1.325673463
134	1.324029924
135	1.323015869
136	1.321714631
137	1.320693603
138	1.3181303
139	1.315757369
140	1.31270553
141	1.311177269
142	1.309035385
143	1.307510557
144	1.305543693
145	1.304020302
146	1.302396891
147	1.301434558
148	1.300602597
149	1.299266027
150	1.297823021
151	1.296404472
152	1.295377307
153	1.294122404
154	1.29291311
155	1.291982949
156	1.291226514
157	1.290293441
158	1.289505044
159	1.287770958
160	1.28701466
161	1.285761187
162	1.284732391
163	1.281953515
164	1.280772182
165	1.280048952
166	1.279016222
167	1.277735686
168	1.275229847
169	1.274204596
170	1.273264952
171	1.27237885
172	1.270043512
173	1.269312327
174	1.267688038
175	1.267068674
176	1.26650818
177	1.265064397
178	1.26448128
179	1.263463574
180	1.262978686
181	1.260816931
182	1.260312391
183	1.25962563
184	1.258239268
185	1.257442579
186	1.256596393
187	1.255708729
188	1.254449495
189	1.253803807
190	1.253060731
191	1.252172672
192	1.251448691
193	1.250413301
194	1.248387495
195	1.247813905
196	1.247146698
197	1.246728486
198	1.246185442
199	1.244315894
