iter	Passed	Remaining
0	55	11113
1	57	5673
2	58	3829
3	59	2906
4	60	2354
5	61	1979
6	62	1709
7	62	1506
8	63	1348
9	64	1222
10	65	1119
11	65	1033
12	66	960
13	67	899
14	68	845
15	69	798
16	70	762
17	71	725
18	72	691
19	73	660
20	74	632
21	75	607
22	76	585
23	76	563
24	77	544
25	78	526
26	79	509
27	80	493
28	81	479
29	82	465
30	83	453
31	84	441
32	85	430
33	86	421
34	87	412
35	88	403
36	89	394
37	90	384
38	91	376
39	91	367
40	92	359
41	93	351
42	94	344
43	95	336
44	95	330
45	96	324
46	97	318
47	98	312
48	99	307
49	100	302
50	101	297
51	102	292
52	103	287
53	104	281
54	104	276
55	105	271
56	106	266
57	107	262
58	107	257
59	108	253
60	109	249
61	110	245
62	111	242
63	112	238
64	113	235
65	114	232
66	115	228
67	116	225
68	117	222
69	117	219
70	118	215
71	119	212
72	120	209
73	121	206
74	122	203
75	123	201
76	124	198
77	125	195
78	126	193
79	126	190
80	127	187
81	128	185
82	129	182
83	130	180
84	131	177
85	131	174
86	132	172
87	133	169
88	134	167
89	134	164
90	135	162
91	136	159
92	136	157
93	137	154
94	138	152
95	139	150
96	140	148
97	141	146
98	141	144
99	142	142
100	143	140
101	144	138
102	144	136
103	145	134
104	146	132
105	147	130
106	148	128
107	148	126
108	149	124
109	150	123
110	151	121
111	151	119
112	152	117
113	153	115
114	154	113
115	154	112
116	155	110
117	156	108
118	156	106
119	157	104
120	158	103
121	159	101
122	159	100
123	160	98
124	161	96
125	161	95
126	162	93
127	163	91
128	163	90
129	164	88
130	165	86
131	165	85
132	166	83
133	166	82
134	167	80
135	168	79
136	168	77
137	169	76
138	170	74
139	170	73
140	171	71
141	172	70
142	173	68
143	173	67
144	174	66
145	174	64
146	175	63
147	175	61
148	176	60
149	176	58
150	177	57
151	178	56
152	178	54
153	179	53
154	180	52
155	180	50
156	181	49
157	181	48
158	182	47
159	183	45
160	183	44
161	184	43
162	184	41
163	185	40
164	185	39
165	187	38
166	187	37
167	188	35
168	189	34
169	189	33
170	190	32
171	191	31
172	191	29
173	192	28
174	192	27
175	193	26
176	193	25
177	194	24
178	194	22
179	195	21
180	195	20
181	196	19
182	196	18
183	197	17
184	197	16
185	198	14
186	198	13
187	199	12
188	199	11
189	200	10
190	201	9
191	201	8
192	202	7
193	203	6
194	203	5
195	204	4
196	204	3
197	205	2
198	205	1
199	206	0
